a অ
aa আ
A আ
i ই
I ঈ
ee ঈ
u উ
U ঊ
oo ঊ
X ঋ
RU ৠ
e এ
E এ
oi ঐ
o ও
O ও
ou ঔ
k ক
ka ক
kh খ
kha খ
K খ
Ka খ
g গ
ga গ
gh ঘ
gha ঘ
G ঘ
Ga ঘ
~g ঙ
~ga ঙ
c চ
ca চ
ch চ
cha চ
C ছ
Ca ছ
Ch ছ
Cha ছ
j জ
ja জ
J ঝ
Ja ঝ
jh ঝ
jha ঝ
~j ঞ
~ja ঞ
T ট
Ta ট
Th ঠ
Tha ঠ
D ড
Da ড
Dh ঢ
Dha ঢ
N ণ
Na ণ
t ত
ta ত
th থ
tha থ
d দ
da দ
dh ধ
dha ধ
n ন
na ন
p প
pa প
P ফ
Pa ফ
ph ফ
pha ফ
b ব
ba ব
v ব
va ব
B ভ
Ba ভ
bh ভ
bha ভ
m ম
ma ম
Y য
Ya য
r ৰ
ra ৰ
l ল
la ল
L ল
La ল
W ৱ
Wa ৱ
s স
sa স
sh শ
sha শ
S শ
Sa শ
Sh ষ
Sha ষ
h হ
ha হ
~h হ
~ha হ
y য়
ya য়
Yx য়
Yxa য়
Dx ড়
Dxa ড়
Dhx ঢ়
Dhxa ঢ়
Q ক্ষ
Qa ক্ষ
R র
Ra র
q ৗ
M ং
~M ঁ
H ঃ
ZZ ড৹
Rs ₹
^ ৎ
~ ‘
~~ “
' ’
" ”
; ;
[ ;
~` ৺ 
` ্‌
! !
@ @
# #
% %
& &
* *
( (
) )
- -
_ _
= =
+ +
{ {
} }
] ]
\ \
/ /
| ।
: :
, ,
> >
? ?
. .
1 ১
2 ২
3 ৩
4 ৪
5 ৫
6 ৬
7 ৭
8 ৮
9 ৯
0 ০
kaa কা
khaa খা
Kaa খা
gaa গা
ghaa ঘা
Gaa ঘা
~gaa ঙা
caa চা
chaa চা
Caa ছা
Chaa ছা
jaa জা
Jaa ঝা
jhaa ঝা
~jaa ঞা
Taa টা
Thaa ঠা
Daa ডা
Dhaa ঢা
Naa ণা
taa তা
thaa থা
daa দা
dhaa ধা
naa না
paa পা
Paa ফা
phaa ফা
baa বা
vaa বা
Baa ভা
bhaa ভা
maa মা
Yaa যা
raa ৰা
laa লা
Laa লা
Waa ৱা
saa সা
shaa শা
Saa শা
Shaa ষা
haa হা
~haa হা
yaa য়া
Yxaa য়া
Dxaa ড়া
Dhxaa ঢ়া
Qaa ক্ষা
Raa রা
kA কা
khA খা
KA খা
gA গা
ghA ঘা
GA ঘা
~gA ঙা
cA চা
chA চা
CA ছা
ChA ছা
jA জা
JA ঝা
jhA ঝা
~jA ঞা
TA টা
ThA ঠা
DA ডা
DhA ঢা
NA ণা
tA তা
thA থা
dA দা
dhA ধা
nA না
pA পা
PA ফা
phA ফা
bA বা
vA বা
BA ভা
bhA ভা
mA মা
YA যা
rA ৰা
lA লা
LA লা
WA ৱা
sA সা
shA শা
SA শা
ShA ষা
hA হা
~hA হা
yA য়া
YxA য়া
DxA ড়া
DhxA ঢ়া
QA ক্ষা
RA রা
ki কি
khi খি
Ki খি
gi গি
ghi ঘি
Gi ঘি
~gi ঙি
ci চি
chi চি
Ci ছি
Chi ছি
ji জি
Ji ঝি
jhi ঝি
~ji ঞি
Ti টি
Thi ঠি
Di ডি
Dhi ঢি
Ni ণি
ti তি
thi থি
di দি
dhi ধি
ni নি
pi পি
Pi ফি
phi ফি
bi বি
vi বি
Bi ভি
bhi ভি
mi মি
Yi যি
ri ৰি
li লি
Li লি
Wi ৱি
si সি
shi শি
Si শি
Shi ষি
hi হি
~hi হি
yi য়ি
Yxi য়ি
Dxi ড়ি
Dhxi ঢ়ি
Qi ক্ষি
Ri রি
kI কী
khI খী
KI খী
gI গী
ghI ঘী
GI ঘী
~gI ঙী
cI চী
chI চী
CI ছী
ChI ছী
jI জী
JI ঝী
jhI ঝী
~jI ঞী
TI টী
ThI ঠী
DI ডী
DhI ঢী
NI ণী
tI তী
thI থী
dI দী
dhI ধী
nI নী
pI পী
PI ফী
phI ফী
bI বী
vI বী
BI ভী
bhI ভী
mI মী
YI যী
rI ৰী
lI লী
LI লী
WI ৱী
sI সী
shI শী
SI শী
ShI ষী
hI হী
~hI হী
yI য়ী
YxI য়ী
DxI ড়ী
DhxI ঢ়ী
QI ক্ষী
RI রী
kee কী
khee খী
Kee খী
gee গী
ghee ঘী
Gee ঘী
~gee ঙী
cee চী
chee চী
Cee ছী
Chee ছী
jee জী
Jee ঝী
jhee ঝী
~jee ঞী
Tee টী
Thee ঠী
Dee ডী
Dhee ঢী
Nee ণী
tee তী
thee থী
dee দী
dhee ধী
nee নী
pee পী
Pee ফী
phee ফী
bee বী
vee বী
Bee ভী
bhee ভী
mee মী
Yee যী
ree ৰী
lee লী
Lee লী
Wee ৱী
see সী
shee শী
See শী
Shee ষী
hee হী
~hee হী
yee য়ী
Yxee য়ী
Dxee ড়ী
Dhxee ঢ়ী
Qee ক্ষী
Ree রী
ku কু
khu খু
Ku খু
gu গু
ghu ঘু
Gu ঘু
~gu ঙু
cu চু
chu চু
Cu ছু
Chu ছু
ju জু
Ju ঝু
jhu ঝু
~ju ঞু
Tu টু
Thu ঠু
Du ডু
Dhu ঢু
Nu ণু
tu তু
thu থু
du দু
dhu ধু
nu নু
pu পু
Pu ফু
phu ফু
bu বু
vu বু
Bu ভু
bhu ভু
mu মু
Yu যু
ru ৰু
lu লু
Lu লু
Wu ৱু
su সু
shu শু
Su শু
Shu ষু
hu হু
~hu হু
yu য়ু
Yxu য়ু
Dxu ড়ু
Dhxu ঢ়ু
Qu ক্ষু
Ru রু
kU কূ
khU খূ
KU খূ
gU গূ
ghU ঘূ
GU ঘূ
~gU ঙূ
cU চূ
chU চূ
CU ছূ
ChU ছূ
jU জূ
JU ঝূ
jhU ঝূ
~jU ঞূ
TU টূ
ThU ঠূ
DU ডূ
DhU ঢূ
NU ণূ
tU তূ
thU থূ
dU দূ
dhU ধূ
nU নূ
pU পূ
PU ফূ
phU ফূ
bU বূ
vU বূ
BU ভূ
bhU ভূ
mU মূ
YU যূ
rU ৰূ
lU লূ
LU লূ
WU ৱূ
sU সূ
shU শূ
SU শূ
ShU ষূ
hU হূ
~hU হূ
yU য়ূ
YxU য়ূ
DxU ড়ূ
DhxU ঢ়ূ
QU ক্ষূ
RU রূ
koo কূ
khoo খূ
Koo খূ
goo গূ
ghoo ঘূ
Goo ঘূ
~goo ঙূ
coo চূ
choo চূ
Coo ছূ
Choo ছূ
joo জূ
Joo ঝূ
jhoo ঝূ
~joo ঞূ
Too টূ
Thoo ঠূ
Doo ডূ
Dhoo ঢূ
Noo ণূ
too তূ
thoo থূ
doo দূ
dhoo ধূ
noo নূ
poo পূ
Poo ফূ
phoo ফূ
boo বূ
voo বূ
Boo ভূ
bhoo ভূ
moo মূ
Yoo যূ
roo ৰূ
loo লূ
Loo লূ
Woo ৱূ
soo সূ
shoo শূ
Soo শূ
Shoo ষূ
hoo হূ
~hoo হূ
yoo য়ূ
Yxoo য়ূ
Dxoo ড়ূ
Dhxoo ঢ়ূ
Qoo ক্ষূ
Roo রূ
kX কৃ
khX খৃ
KX খৃ
gX গৃ
ghX ঘৃ
GX ঘৃ
~gX ঙৃ
cX চৃ
chX চৃ
CX ছৃ
ChX ছৃ
jX জৃ
JX ঝৃ
jhX ঝৃ
